name,description,category,price,stock_quantity,reference,image_filename
DAS Multi-Unit Screwdriver square 4x4mm. L22mm,,MULTI-UNIT,72.0,0,43.322.316.01-2,43322316012.png
DAS Multi-Unit Ratchet insertion tool,,MULTI-UNIT,5.0,0,49.409.000.01-2,49409000012.jpg
DAS Multi-Unit Analog,,MULTI-UNIT,15.5,0,22.612.209.01-2,22612209012.jpg
Screwdriver Hex1.20,,MULTI-UNIT,38.0,0,43.601.103.02-2,43601103022.jpg
"DAS Dynamic Multi-unit Ti-base, non-engaging, G0,5, HC9",,MULTI-UNIT,44.0,0,31.322.209.21-2,31322209212.jpg
DAS Straight Engaging Ti-base *SCREW not included,,MULTI-UNIT,12.5,0,35.312.209.21-2,35312209212.jpg
DYNAMIC ABUTMENT,CC external conection,DYNAMIC ABUTMENT,85.0,0,21.2xx.yyy.01-2,
Novox Pack,,NOVOX,66.0,0,,
Mixer,,NOVOX,30.0,0,,
Novox Base,,NOVOX,51.0,0,,
Colour dye,,NOVOX,6.8,0,,
DAS SURGICAL KIT,,DAS SURGICAL KIT AND COMPONENTS,4490.0,0,CG_BOX63,
DAS SLEEVE,,DAS SURGICAL KIT AND COMPONENTS,10.0,0,71.340.485.01-2,71340485012.png
DAS CUT SLEEVE,,DAS SURGICAL KIT AND COMPONENTS,14.0,0,71.340.485.02-2,71340485022.png
SLEEVE GRIPPER,,DAS SURGICAL KIT AND COMPONENTS,50.0,0,79.300.003.01-2,
IMPLANT MOUNTER,,DAS SURGICAL KIT AND COMPONENTS,70.0,0,75.XXX.XXX.XX-X,75118033482.jpg
ANCHOR PIN,,DAS SURGICAL KIT AND COMPONENTS,35.0,0,79.300.004.01-2,79300004012.png
EXTRACTOR,,DAS SURGICAL KIT AND COMPONENTS,50.0,0,79.300.001.01-2,
SLEEVE LATERAL PIN,,DAS SURGICAL KIT AND COMPONENTS,12.5,0,71.340.153.01-2,71340153012.jpg
DRILLS 2.0 to 4.5,,DAS SURGICAL KIT AND COMPONENTS,80.0,0,74.XXX.XXX.XX-X,74130225012.png
DRILL ANCHOR PIN,,DAS SURGICAL KIT AND COMPONENTS,70.0,0,74.200.215.01-2,74200215012.png
FLATTENING DRILL,,DAS SURGICAL KIT AND COMPONENTS,70.0,0,74.150.225.01-2,74150225012.png
INITIAL DRILL,,DAS SURGICAL KIT AND COMPONENTS,80.0,0,74.030.XXX.XX.X,74030220022.png
TISSUE PUNCH,,DAS SURGICAL KIT AND COMPONENTS,70.0,0,74.120.230.01-2,74120230012.png
SHORT EXTENSION RATCHET,,DAS SURGICAL KIT AND COMPONENTS,45.0,0,79.600.009.01-2,79600009012.png
LONG EXTENSION RATCHET,,DAS SURGICAL KIT AND COMPONENTS,50.0,0,79.600.010.01-2,79600010012.png
BOX,,DAS SURGICAL KIT AND COMPONENTS,750.0,0,79.900.005.01-2,79900005012.png
Dynamic iGrapher,,PHOTOGRAMMETRY CAMERA,12500.0,0,11.140.010.01-2,
INTERNAL MU,,INTERNAL MU,48.0,0,62.303.XXX.XX-X,62303030022.jpg
TI BASE,,INTERNAL MU,42.0,0,31.XXX.XXX.XX-X,31322209212.jpg
SCREW,,INTERNAL MU,18.9,0,41.318.050.01-2,41318050012.jpg
PROVISIONAL SCREW,,INTERNAL MU,18.9,0,41.318.057.01-2,41318057012.jpg
DIGITAL ANALOG,,INTERNAL MU,29.0,0,34.312.210.01-2,34312210012.jpg
REFERENCE SCANBODY,,INTERNAL MU,30.0,0,54.3XX.XXX.XX-X,54322209312.jpg
CAPTIVE HEALING CAP,,INTERNAL MU,19.0,0,40.318.003.89-2,
Prescanbody,,PRESCANOBODY & COMPONENTS,35.0,0,53.412.998.01-2,53412998012.jpg
DAS Anchor Screw,,PRESCANOBODY & COMPONENTS,35.0,0,79.300.012.02-2,79300012022.jpg
DAS Multi-Unit Screwdriver L21mm,,PRESCANOBODY & COMPONENTS,38.0,0,43.321.316.01-2,43321316012.png
Screwdriver Hex1.20,,PRESCANOBODY & COMPONENTS,38.0,0,43.601.103.02-2,43601103022.jpg
DAS MILLING MACHINE,,DAS MILLING MACHINE,10400.0,0,11.120.010.01-2,
DAS COMPRESOR,,DAS MILLING MACHINE,2600.0,0,11.120.010.02-2,
DAS VACUUM,,DAS MILLING MACHINE,2600.0,0,11.120.010.03-2,
CAM MILBOX 5AX Standard,,DAS MILLING MACHINE,1900.0,0,11.120.040.01-2,
