compatibility_code,section,reference,reference_prefix,reference_group,reference_family,reference_option,reference_variant,options,source_line
0037,SCANBODY OP,43.601.107.01-2,43,601,107,01,2,,54.315.037.21-2                                                                                                                                    43.601.107.01-2
0037,SCANBODY OP,49.414.000.03-2,49,414,000,03,2,C|6,49.414.000.03-2                                         6                         C
0037,SCANBODY OP,49.415.000.03-2,49,415,000,03,2,C|9,49.415.000.03-2                                         9                         C
0037,SCANBODY OP,49.416.000.03-2,49,416,000,03,2,C|13,49.416.000.03-2                                        13                         C
0037,SCANBODY OP,49.416.000.04-2,49,416,000,04,2,D|13,49.416.000.04-2                                        13                         D
0037,SCANBODY OP,49.416.000.05-2,49,416,000,05,2,E|13,49.416.000.05-2                                        13                          E
0037,DYNAMIC,43.618.201.01-2,43,618,201,01,2,18,18                        43.618.201.01-2
0037,DYNAMIC,41.320.067.01-2,41,320,067,01,2,24,41.320.067.01-2                                   24                        43.624.201.01-2
0037,DYNAMIC,43.624.201.01-2,43,624,201,01,2,24,41.320.067.01-2                                   24                        43.624.201.01-2
0037,DYNAMIC,43.632.201.01-2,43,632,201,01,2,32,32                        43.632.201.01-2
0037,STRAIGHT,40.320.007.01-2,40,320,007,01,2,,40.320.007.01-2                            TORX T6                          43.601.107.01-2
0037,STRAIGHT,43.601.107.01-2,43,601,107,01,2,,40.320.007.01-2                            TORX T6                          43.601.107.01-2
0037,STRAIGHT MULTI-UNIT,42.303.037.01-2,42,303,037,01,2,1,1                     42.303.037.01-2
0038,STANDARD DYNAMIC TIBASE,31.322.038.01-2,31,322,038,01,2,"45º|29º|0,7","0,7                        45º                           29º                        31.322.038.01-2                               31.312.038.01-2"
0038,STANDARD DYNAMIC TIBASE,31.312.038.01-2,31,312,038,01,2,"45º|29º|0,7","0,7                        45º                           29º                        31.322.038.01-2                               31.312.038.01-2"
0038,STANDARD DYNAMIC TIBASE,31.322.038.21-2,31,322,038,21,2,"30º|25º|10º|0,7","0,7                       30º                            25º                            10º                    31.322.038.21-2                                 31.312.038.21-2"
0038,STANDARD DYNAMIC TIBASE,31.312.038.21-2,31,312,038,21,2,"30º|25º|10º|0,7","0,7                       30º                            25º                            10º                    31.322.038.21-2                                 31.312.038.21-2"
0038,SCREWDRIVER,52.410.103.01-2,52,410,103,01,2,10,10                     52.410.103.01-2
0038,SCREWDRIVER,43.621.410.01-2,43,621,410,01,2,,43.621.410.01-2
0038,SCREWDRIVER,50.312.038.01-2,50,312,038,01,2,,50.312.038.01-2
0038,SCREWDRIVER,43.624.410.01-2,43,624,410,01,2,,43.624.410.01-2
0038,SCREWDRIVER,52.412.103.01-2,52,412,103,01,2,12,12                    52.412.103.01-2
0038,SCANBODY,30.412.001.01-2,30,412,001,01,2,,30.412.001.01-2
0038,SCANBODY,33.345.804.01-2,33,345,804,01,2,3,3                                                 33.345.804.01-2                                             34.612.038.01-2
0038,SCANBODY,34.612.038.01-2,34,612,038,01,2,3,3                                                 33.345.804.01-2                                             34.612.038.01-2
0038,SCANBODY,33.445.804.01-2,33,445,804,01,2,25º|4,4                       25º                       33.445.804.01-2
0038,SCANBODY,33.645.804.01-2,33,645,804,01,2,6,6                                                 33.645.804.01-2
0038,DYNAMIC,43.618.201.01-2,43,618,201,01,2,18,18                        43.618.201.01-2
0038,DYNAMIC,41.316.081.01-2,41,316,081,01,2,24,41.316.081.01-2                                  24                        43.624.201.01-2
0038,DYNAMIC,43.624.201.01-2,43,624,201,01,2,24,41.316.081.01-2                                  24                        43.624.201.01-2
0038,DYNAMIC,43.632.201.01-2,43,632,201,01,2,32,32                        43.632.201.01-2
0038,STRAIGHT,40.316.004.02-2,40,316,004,02,2,1.25,40.316.004.02-2                            Hex. 1.25                        43.601.104.01-2
0038,STRAIGHT,43.601.104.01-2,43,601,104,01,2,1.25,40.316.004.02-2                            Hex. 1.25                        43.601.104.01-2
