reference,reference_num,name,ean13
61.302.169.03-2,61302169032,DAS MU4.0 straight G3 Comp.0169 30N·cm,843567351410
61.303.186.03-2,61303186032,DAS MU4.0 straight G3 Comp.0186 30N·cm,843567351414
61.302.207.03-2,61302207032,"DAS MU4.0 straight G3 Comp.0207,0208,0260,0261,0262 30N·cm",843567351419
61.303.015.04-2,61303015042,DAS MU4.0 straight G4 Comp.0015 30N·cm,843567351428
61.302.021.04-2,61302021042,DAS MU4.0 straight G4 Comp.0021 30N·cm,843567351487
61.303.022.04-2,61303022042,DAS MU4.0 straight G4 Comp.0022 30N·cm,843567351491
61.302.033.04-2,61302033042,DAS MU4.0 straight G4 Comp.0033 30N·cm,843567351424
61.303.035.04-2,61303035042,DAS MU4.0 straight G4 Comp.0035 30N·cm,843567351506
61.302.040.04-2,61302040042,DAS MU4.0 straight G4 Comp.0040 30N·cm,843567351469
61.302.082.04-2,61302082042,DAS MU4.0 straight G4 Comp.0082 30N·cm,843567351483
61.303.083.04-2,61303083042,DAS MU4.0 straight G4 Comp.0083 30N·cm,843567351473
61.303.121.04-2,61303121042,"DAS MU4.0 straight G4 Comp.0120, 0121 30N·cm",843567351477
61.302.169.04-2,61302169042,DAS MU4.0 straight G4 Comp.0169 30N·cm,843567351411
61.303.186.04-2,61303186042,DAS MU4.0 straight G4 Comp.0186 30N·cm,843567351415
61.302.207.04-2,61302207042,"DAS MU4.0 straight G4 Comp.0207,0208,0260,0261,0262 30N·cm",843567351420
61.303.186.05-2,61303186052,DAS MU4.0 straight G5 Comp.0186 30N·cm,843567351416
48.312.030.01-2,48312030012,DAS Multi-Unit 20º G1.5/2.9 Comp.0030. 25N·cm,843567351104
48.312.029.02-2,48312029022,DAS Multi-Unit 20º G2.5/3.9 Comp.0029. 20N·cm,843567351288
48.312.030.02-2,48312030022,DAS Multi-Unit 20º G2.5/3.9 Comp.0030. 25N.cm,843567351105
48.312.029.03-2,48312029032,DAS Multi-Unit 20º G3.5/4.9 Comp.0029. 20N·cm,843567351289
48.312.030.03-2,48312030032,DAS Multi-Unit 20º G3.5/4.9 Comp.0030. 25N.cm,843567351106
48.312.029.04-2,48312029042,DAS Multi-Unit 20º G4.5/5.9 Comp.0029. 20N·cm,843567351290
48.312.007.01-2,48312007012,"DAS Multi-Unit 20º, G1.5/2.9, Comp.0007 25N·cm",843567351234
48.312.015.01-2,48312015012,"DAS Multi-Unit 20º, G1.5/2.9, Comp.0015 25N·cm",843567351218
48.312.021.01-2,48312021012,"DAS Multi-Unit 20º, G1.5/2.9, Comp.0021 20N·cm",843567351221
48.312.022.01-2,48312022012,"DAS Multi-Unit 20º, G1.5/2.9, Comp.0022 25N·cm",843567351239
48.312.125.01-2,48312125012,"DAS Multi-Unit 20º, G1.5/2.9, Comp.0125 20N·cm",843567351258
48.312.169.01-2,48312169012,"DAS Multi-Unit 20º, G1.5/2.9, Comp.0169 25N·cm",843567351261
48.312.004.02-2,48312004022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0004 20N·cm",843567351228
48.312.006.02-2,48312006022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0006 20N·cm",843567351231
48.312.007.02-2,48312007022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0007 25N·cm",843567351235
48.312.015.02-2,48312015022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0015 25N·cm",843567351219
48.312.021.02-2,48312021022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0021 20N·cm",843567351222
48.312.022.02-2,48312022022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0022 25N·cm",843567351240
48.312.033.02-2,48312033022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0033 20N·cm",843567351241
48.312.035.02-2,48312035022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0035 20N·cm",843567351244
48.312.040.02-2,48312040022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0040 25N·cm",843567351246
48.312.102.02-2,48312102022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0102 25N·cm",843567351257
48.312.120.02-2,48312120022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0120, 0121 20N·cm",843567351252
48.312.125.02-2,48312125022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0125 20N·cm",843567351259
48.312.169.02-2,48312169022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0169 25N·cm",843567351262
48.312.186.02-2,48312186022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0186 20N·cm",843567351224
48.312.207.02-2,48312207022,"DAS Multi-Unit 20º, G2.5/3.9, Comp.0207, 0208 20N·cm",843567351254
48.312.004.03-2,48312004032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0004 20N·cm",843567351229
48.312.006.03-2,48312006032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0006 20N·cm",843567351232
48.312.014.03-2,48312014032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0014 15N·cm",843567351237
48.312.033.03-2,48312033032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0033 20N·cm",843567351242
48.312.035.03-2,48312035032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0035 20N·cm",843567351245
48.312.040.03-2,48312040032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0040 25N·cm",843567351247
48.312.119.03-2,48312119032,"DAS Multi-Unit 20º, G3.5/4.9, Comp.0119 20N·cm",843567351251
