name,description,category,price,stock_quantity,reference,reference_num,ean13,price_match_type,price_reference,retail_name,compatibility_code,ref_segment_1,ref_segment_2,ref_segment_3,ref_segment_4,ref_check_digit,options,generated_description,system_categories,active_system_categories,primary_system_category,is_active_from_categories
Adaptor IO G3 HA. Comp.0022. 5N·cm,,,,0,50.313.022.03-2,50313022032,843656873986,none,,,022,50,313,022,03,2,"40º|19º|1,3;25º|14º|2;20º|30º|3;15º|30º|4;15º|20º;30º|25º|10º|1,3;20º|10º|3;3;1;2;4;1,5|2,9|3,5|5,4","Referenčný kód: 50.313.022.03-2 | Systém: ALFA-GATE | Parametre: 40º|19º|1,3;25º|14º|2;20º|30º|3;15º|30º|4;15º|20º;30º|25º|10º|1,3;20º|10º|3;3;1;2;4;1,5|2,9|3,5|5,4",ADIN;ALFA-GATE;HAHN IMPLANT (GLIDEWELL);HI-TEC;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE;REFLECT;YOUSE IMPLANTS (SWEDEN & MARTINA GROUP),ALFA-GATE;IMPLANT DIRECT;JDENTALCARE;NOBEL BIOCARE,ALFA-GATE,1
Adaptor IO G3 HA. Comp.0030. 5N·cm,,,,0,50.313.030.03-2,50313030032,843656873353,none,,,030,50,313,030,03,2,"42º|25º|1,1;25º|15º|2;20º|30º|3;15º|30º|4;25º|20º|10º|1,1;25º|20º|15º|2;25º|20º|10º|3;1;2;3;4;5","Referenčný kód: 50.313.030.03-2 | Systém: BIOCONCEPT | Parametre: 42º|25º|1,1;25º|15º|2;20º|30º|3;15º|30º|4;25º|20º|10º|1,1;25º|20º|15º|2;25º|20º|10º|3;1;2;3;4;5",BIOCONCEPT;BIOTEM;COLLELMEDI;DENTEM;DENTIS;DENTIUM;DIO IMPLANTS;EASY IMPLANT;F&B IMPLANT (FIT & BRILLIANT);IBS;IDO IMPLANTS;IMPLANTSWISS;MEGADENT;NEOBIOTECH;OSSTEM IMPLANT;POINT IMPLANT;SEWON MEDIX;YES IMPLANT,BIOCONCEPT;DENTIS;DENTIUM;DIO IMPLANTS;IDO IMPLANTS;IMPLANTSWISS;NEOBIOTECH;OSSTEM IMPLANT,BIOCONCEPT,1
Adaptor IO G3 HA. Comp.0040. 5N·cm,,,,0,50.312.040.03-2,50312040032,843656873298,none,,,040,50,312,040,03,2,"45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2","Referenčný kód: 50.312.040.03-2 | Systém: ALFA-GATE | Parametre: 45º|30º|0,6;25º|1,5;30º|3;15º|30º|4;10º|23º|5;30º|25º|20º|0,6;30º|25º|20º|1;25º|20º|15º|2;25º|20º|15º|3;3;1;2",AB;ADIN;ALFA-GATE;ALPHABIO;ARDS;BIOHORIZONS;BIONER;BIOTEC;BTK;B&W;CORTEX;DITRON;DMI DENTAL SUPPLY;HI-TEC;IMPLANT DIRECT;IMPLANT GENESIS;INTRA-LOCK;JDENTALCARE;LEADER;MIS;NORIS MEDICAL;OSTEOPLUS;PROCLINIC;REFLECT;SOUTHERN IMPLANTS;TREE-OSS;TRI DENTAL IMPLANTS;VULKAN IMPLANTS;ZIACOM;ZIMMER;AVINENT;ECKERMANN;GMI (ILERIMPLANT);MICRODENT;NORMON;NOVA IMPLANTS;PALTOP;RADHEX;RITTER;WIN,ALFA-GATE;ALPHABIO;BIOHORIZONS;BIOTEC;BTK;CORTEX;IMPLANT DIRECT;JDENTALCARE;MIS;NORIS MEDICAL;SOUTHERN IMPLANTS;TRI DENTAL IMPLANTS;ZIMMER;MICRODENT,ALFA-GATE,1
Adaptor IO G3 HA. Comp.0186. 5N·cm,,,,0,50.313.186.04-2,50313186042,843656873930,none,,,186,50,313,186,04,2,"40º|30º|1,2;20º|18º|2,5;15º|3,5;30º|25º|15º|1,2;30º|25º|15º|2,5;10;3;1;2;4;5;2,5|3,9","Referenčný kód: 50.313.186.04-2 | Systém: NEODENT | Parametre: 40º|30º|1,2;20º|18º|2,5;15º|3,5;30º|25º|15º|1,2;30º|25º|15º|2,5;10;3;1;2;4;5;2,5|3,9",NEODENT,NEODENT,NEODENT,1
Adaptor IO G3 HB. Comp.0005. 5N·cm,,,,0,50.314.005.03-2,50314005032,843567350129,none,,,005,50,314,005,03,2,"1.27;38º|23º|1;25º|15º|2;20º|3;15º|4;25º|20º|10º|1;3;1,27;45º|1,4|0,3|15|7,6|3,6|5,21|6;45º|1,4|0,3|15|7,5|2,4|5,5|5,7;45º|1,4|0,3|15|4|1,7|2,25|1,75;45º|1,6|0,35|20|7,5|3,6|5,44|5,9","Referenčný kód: 50.314.005.03-2 | Systém: ASTRA | Parametre: 1.27;38º|23º|1;25º|15º|2;20º|3;15º|4;25º|20º|10º|1;3;1,27;45º|1,4|0,3|15|7,6|3,6|5,21|6;45º|1,4|0,3|15|7,5|2,4|5,5|5,7;45º|1,4|0,3|15|4|1,7|2,25|1,75;45º|1,6|0,35|20|7,5|3,6|5,44|5,9",ASTRA;BIOGENESIS;CORTEX;GT MEDICAL;MOZO-GRAU (TICARE);MPI;REFLECT;SIGNO VINCES;PROCLINIC;SOUTHERN IMPLANTS;TITANIUM-FIX;UFIT,ASTRA;BIOGENESIS;CORTEX;GT MEDICAL;SOUTHERN IMPLANTS;UFIT,ASTRA,1
Adaptor IO G3 HB. Comp.0041. 5N·cm,,,,0,50.313.041.03-2,50313041032,843656873581,none,,,041,50,313,041,03,2,"45º|30º|0,4;30º|25º|1,5;30º|20º|10º|0,4;30º|25º|15º|1,5;12;3;1;24;55º|45º|72|4,1|1,9|2,3|2,47|1,63","Referenčný kód: 50.313.041.03-2 | Systém: ACE | Parametre: 45º|30º|0,4;30º|25º|1,5;30º|20º|10º|0,4;30º|25º|15º|1,5;12;3;1;24;55º|45º|72|4,1|1,9|2,3|2,47|1,63",ACE;BIOHORIZONS;BIONER;DENTAL TECH;HI-TEC;IMPLANT DIRECT;INTRA-LOCK;MISS;PALTOP;REFLECT;ZIACOM;ECKERMANN;GMI (ILESIMPLANT);RADHEX,ACE;BIOHORIZONS;IMPLANT DIRECT,ACE,1
Adaptor IO G3 HB. Comp.0052. 5N·cm,,,,0,50.314.052.04-2,50314052042,843567351226,none,,,052,50,314,052,04,2,"45º|27º|0,3;3;24;2|25|5,2|3|3,7|1,5|2,6|30","Referenčný kód: 50.314.052.04-2 | Systém: BEGO | Parametre: 45º|27º|0,3;3;24;2|25|5,2|3|3,7|1,5|2,6|30",BEGO,BEGO,BEGO,1
Adaptor IO G3 HB. Comp.0091. 5N·cm,,,,0,50.314.091.03-2,50314091032,843567350621,none,,,091,50,314,091,03,2,"20º|3;38º|18º|1,2;25º|2;20º|25º|3;15º|25º|4;30º|25º|15º|1,2;3;1;2;4","Referenčný kód: 50.314.091.03-2 | Systém: ASTRA | Parametre: 20º|3;38º|18º|1,2;25º|2;20º|25º|3;15º|25º|4;30º|25º|15º|1,2;3;1;2;4",ASTRA,ASTRA,ASTRA,1
Adaptor IO G3 HC. Comp.0001. 5N·cm,,,,0,50.312.001.04-2,50312001042,843656873451,none,,,001,50,312,001,04,2,"43º|29º|0,3;25º|22º|1,2;25º|2;20º|3;25º|20º|10º|0,3;25º|20º|10º|2;3;1;2;4","Referenčný kód: 50.312.001.04-2 | Systém: BIOMET 3L | Parametre: 43º|29º|0,3;25º|22º|1,2;25º|2;20º|3;25º|20º|10º|0,3;25º|20º|10º|2;3;1;2;4",BIOMET 3L,,BIOMET 3L,0
Adaptor IO G3 HC. Comp.0004. 5N·cm,,,,0,50.313.004.03-2,50313004032,843656873910,none,,,004,50,313,004,03,2,"45º|29º|1;30º|20º|2;25º|3;20º|25º|4;25º|20º|10º|1;3;1;2;4;2.5|3,9;3,5|4,9;4,5|5,9","Referenčný kód: 50.313.004.03-2 | Systém: ASTRA | Parametre: 45º|29º|1;30º|20º|2;25º|3;20º|25º|4;25º|20º|10º|1;3;1;2;4;2.5|3,9;3,5|4,9;4,5|5,9",ASTRA;CORTEX;EASY IMPLANTS;EUROTEKNIKA;GALIMPLANT;IMPLANTSWISS;MOZO-GRAU (TICARE);MPI;PROCLINIC;REFLECT;SIGNO VINCES;SOUTHERN IMPLANTS;TITANIUM-FIX;UFIT;WARANTEC (ONEPLANT);ZIACOM,ASTRA;CORTEX;EUROTEKNIKA;IMPLANTSWISS;SOUTHERN IMPLANTS;UFIT,ASTRA,1
