section,name,detail,reference,price_eur
PHOTOGRAMMETRY CAMERA,Set 8 QR scanbodies,,F/REFENCIA,
PHOTOGRAMMETRY CAMERA,Set 8 Gingival scanbodies,,F/REFENCIA,
INTERNAL MU,INTERNAL MU,,62.303.XXX.XX-X,48.0
INTERNAL MU,TI BASE,,31.XXX.XXX.XX-X,42.0
INTERNAL MU,SCREW,,41.318.050.01-2,18.9
INTERNAL MU,PROVISIONAL SCREW,,41.318.057.01-2,18.9
INTERNAL MU,DIGITAL ANALOG,,34.312.210.01-2,29.0
INTERNAL MU,REFERENCE SCANBODY,,54.3XX.XXX.XX-X,30.0
INTERNAL MU,CAPTIVE HEALING CAP,,40.318.003.89-2,19.0
PRESCANOBODY & COMPONENTS,Prescanbody,,53.412.998.01-2,35.0
PRESCANOBODY & COMPONENTS,DAS Anchor Screw,,79.300.012.02-2,35.0
PRESCANOBODY & COMPONENTS,DAS Multi-Unit Screwdriver L21mm,,43.321.316.01-2,38.0
PRESCANOBODY & COMPONENTS,Screwdriver Hex1.20,,43.601.103.02-2,38.0
DAS MILLING MACHINE,DAS MILLING MACHINE,,11.120.010.01-2,10400.0
DAS MILLING MACHINE,DAS COMPRESOR,,11.120.010.02-2,2600.0
DAS MILLING MACHINE,DAS VACUUM,,11.120.010.03-2,2600.0
DAS MILLING MACHINE,CAM MILBOX 5AX Standard,,11.120.040.01-2,1900.0
